Registration Number,First Name,Middle Name,Last Name,Gender,Date of Birth,Nationality,Country of Residence,Phone Number,Email Address,Home Address,City,State,Zip Code,University,Current GPA / CGPA,Previous GPA (historic tracking),Credits Completed,Credits Remaining,Courses Enrolled Per Semester,Course Codes,Course Units,Technical Skills,Soft Skills,Research Interests,Professional Interests,Hobbies,Preferred Learning Style,Study Partners Preferences,Preferred Study Hours,CS and Data Science Interests
202001357,Eliana,Jayden,Green,Female,2002-01-12,United States,United States,(495) 576-7169,eliana.green65@gmail.com,7737 Lake Avenue,Los Angeles,TX,59788,Johns Hopkins University,3.92,,120,6,5,"DS401, BIO202, AI501, ECON101, DATA201",19,"Pandas, AWS, C++, Git, JavaScript, SQL, Machine Learning, TensorFlow, Java","Communication, Time Management, Leadership, Critical Thinking","NLP, Data Science, Artificial Intelligence, Computer Vision","Data Scientist, AI Researcher, Software Engineer","Music, Gaming, Photography",Auditory,One-on-one,Late night,NLP
202455849,Sebastian,Alexander,Watson,Male,2001-02-12,United States,United States,(766) 824-6658,sebastian.watson20@gmail.com,"9088 Elm Drive, Apt 129",Boston,TX,64116,Johns Hopkins University,2.49,3.57; 2.94; 3.6; 2.14; 3.46,47,78,5,"PSY101, EE301, BIO202, PHYS101, PHYS101",16,"Pandas, PyTorch, Machine Learning, Docker, SQL, AWS, Python","Critical Thinking, Leadership, Time Management, Communication","Machine Learning, None","ML Engineer, AI Researcher, Cybersecurity Analyst","Cooking, Music, Gaming, Photography",Kinesthetic,Online,Morning,"Cybersecurity, NLP, AI, Data Science"
202532455,Isaac,Jordan,Adams,Male,2002-02-22,United States,United States,(477) 804-5428,isaac.adams3@gmail.com,3270 Hill Boulevard,Boston,GA,94679,University of California--Berkeley,2.85,2.23; 3.27; 2.58; 2.54; 2.27; 3.92,81,41,5,"CS201, PSY101, EE301, PHYS101, DATA201",18,"Pandas, Deep Learning, SQL, Cybersecurity, Docker, PyTorch, C++","Time Management, Problem-solving, Leadership, Communication, Teamwork, Critical Thinking","Data Science, NLP, Artificial Intelligence","Software Engineer, ML Engineer, AI Researcher","Photography, Music, Sports, Reading",Reading/Writing,Alone,Late night,"Data Science, AI"
202259287,Delilah,Adeline,Baker,Female,2004-01-14,United States,United States,(775) 309-8749,delilah.baker73@gmail.com,"6055 Pine Street, Apt 100",Chicago,CA,22225,Yale University,2.49,2.1; 2.34; 3.37; 3.31,98,20,5,"PHYS101, PHYS101, MATH101, BIO202, AI501",18,"AWS, SQL, C++, Docker, Git, TensorFlow, Python, Java","Problem-solving, Teamwork, Critical Thinking, Communication, Time Management, Leadership",Machine Learning,"Software Engineer, ML Engineer, AI Researcher, Cybersecurity Analyst","Gaming, Cooking, Hiking, Music, Sports",Kinesthetic,Alone,Evening,"Data Science, Cybersecurity"
202440716,Chloe,Lucy,Carter,Female,2001-08-16,United States,United States,(249) 215-8992,chloe.carter75@gmail.com,5749 Elm Drive,Los Angeles,CA,86377,University of Texas at Austin,2.58,2.25; 3.93; 3.07,85,25,5,"BIO202, AI501, CS201, PSY101, ECON101",18,"Pandas, SQL, Python, PyTorch, Docker, Git","Problem-solving, Communication, Time Management, Critical Thinking, Teamwork","None, Cybersecurity","Data Scientist, AI Researcher","Cooking, Music, Photography, Sports, Gaming, Hiking",Visual,Alone,Afternoon,"AI, Computer Vision"
202411512,Maya,Axel,Roberts,Female,2003-04-05,United States,United States,(827) 626-9399,maya.roberts48@gmail.com,"1228 Park Drive, Apt 96",Miami,IL,27442,Cornell University,3.47,2.95; 2.26; 2.43; 2.6; 3.32,54,73,4,"PHYS101, PHYS101, ML502, DATA201",14,"R, JavaScript, TensorFlow, Java, Git, Machine Learning","Leadership, Time Management, Communication","Computer Vision, None, Machine Learning","Data Scientist, Cybersecurity Analyst","Music, Reading, Photography, Gaming, Sports",Kinesthetic,Alone,Morning,"Machine Learning, None, Cybersecurity, AI"
202509153,Elias,Layla,Flores,Male,2002-04-30,United States,United States,(760) 786-5227,elias.flores74@gmail.com,"5823 Cedar Avenue, Apt 79",New York,IL,39737,New York University,3.33,,16,110,5,"ECON101, CYBER301, DATA201, PHYS101, BIO202",16,"Machine Learning, JavaScript, R, Python, Git, Java, Docker, AWS, TensorFlow","Time Management, Leadership, Teamwork, Critical Thinking","Artificial Intelligence, None","AI Researcher, Cybersecurity Analyst","Music, Cooking, Photography, Reading",Visual,Small group,Afternoon,Machine Learning
202041941,Julian,Liam,Gonzalez,Male,2003-06-30,United States,United States,(580) 281-4309,julian.gonzalez5@gmail.com,"2724 Lake Street, Apt 82",Boston,FL,18455,University of Michigan--Ann Arbor,2.54,2.82; 2.5; 3.4; 3.72; 2.58,91,26,6,"PSY101, MATH101, CYBER301, ML502, CYBER301, AI501",21,"R, Docker, C++","Time Management, Communication, Leadership, Teamwork","Computer Vision, Artificial Intelligence, None","Data Scientist, ML Engineer","Music, Photography",Visual,Online,Afternoon,"NLP, Data Science, None, AI, Cybersecurity"
202218770,Vivian,Parker,Flores,Female,2002-01-18,United States,United States,(919) 559-8401,vivian.flores77@gmail.com,4805 Elm Way,Houston,WA,30390,Carnegie Mellon University,3.43,2.81; 2.28,58,61,6,"CS101, EE301, DATA201, MATH101, BIO202, PHYS101",21,"Deep Learning, Cybersecurity, AWS, Pandas, Python, Machine Learning","Time Management, Communication, Teamwork, Leadership, Critical Thinking, Problem-solving","NLP, Machine Learning, Computer Vision, None","ML Engineer, Data Scientist, AI Researcher, Cybersecurity Analyst","Cooking, Hiking, Sports, Music, Reading, Photography",Auditory,Alone,Afternoon,"Machine Learning, AI, Computer Vision"
202292334,Kennedy,Ezra,Thomas,Female,2005-09-06,United States,United States,(301) 675-7519,kennedy.thomas24@gmail.com,8765 Oak Avenue,Houston,NY,37741,Johns Hopkins University,3.19,3.37,88,40,4,"ML502, CYBER301, PHYS101, DS401",13,"Cybersecurity, AWS, R, Pandas, Java, Python, JavaScript, TensorFlow, Git","Problem-solving, Communication, Teamwork","Artificial Intelligence, Machine Learning","Cybersecurity Analyst, Data Scientist, Software Engineer, AI Researcher","Cooking, Reading, Music, Hiking, Gaming, Photography",Visual,Alone,Evening,"Machine Learning, AI, NLP, Computer Vision, Data Science"
202233743,Charles,Matthew,Allen,Male,2001-09-19,United States,United States,(388) 815-4640,charles.allen13@gmail.com,8753 Maple Way,Denver,IL,48226,Northwestern University,3.96,,102,8,5,"BIO202, DS401, MATH101, BIO202, DATA201",17,"TensorFlow, JavaScript, Cybersecurity, C++, AWS","Leadership, Critical Thinking, Communication, Problem-solving","None, Data Science, Machine Learning, Cybersecurity","Data Scientist, Cybersecurity Analyst, Software Engineer, ML Engineer","Reading, Cooking, Gaming, Photography, Hiking",Kinesthetic,Small group,Late night,"None, Computer Vision, Machine Learning, AI"
202402063,Jade,Gabriel,Gray,Female,2001-02-11,United States,United States,(532) 953-6440,jade.gray56@gmail.com,3929 Sunset Road,New York,TX,97106,Johns Hopkins University,3.92,3.97; 2.57; 2.86; 2.54; 3.75; 3.91,112,12,6,"AI501, ML502, PHYS101, ECON101, DS401, EE301",19,"SQL, Java, Cybersecurity, TensorFlow, JavaScript","Teamwork, Critical Thinking, Communication","Artificial Intelligence, Machine Learning, Computer Vision, NLP","Software Engineer, Data Scientist, ML Engineer","Gaming, Photography, Cooking, Hiking, Music, Reading",Reading/Writing,One-on-one,Evening,"Data Science, None, Machine Learning"
202132785,Robert,Maria,Wood,Male,2005-04-01,United States,United States,(749) 473-5861,robert.wood43@gmail.com,7086 Hill Road,Boston,MA,12477,Stanford University,3.87,3.68; 2.6; 2.82,109,3,5,"CS201, ECON101, MATH101, PSY101, MATH101",16,"Machine Learning, Python, Docker, SQL, PyTorch","Time Management, Critical Thinking, Leadership, Communication",,"Cybersecurity Analyst, AI Researcher","Reading, Photography, Hiking, Cooking",Visual,One-on-one,Late night,"NLP, Data Science, Computer Vision, AI, None"
202422232,Ayla,Ian,Cox,Female,2004-05-29,United States,United States,(234) 568-8498,ayla.cox76@gmail.com,5039 Pine Drive,Denver,IL,99574,University of Chicago,3.19,2.34; 3.0; 3.13; 3.17; 2.91; 3.63,74,45,5,"DS401, BIO202, CS201, CYBER301, DS401",16,"AWS, Java, R, Docker, Machine Learning","Teamwork, Critical Thinking, Time Management","Cybersecurity, None","AI Researcher, Software Engineer, Cybersecurity Analyst, Data Scientist","Music, Gaming, Photography, Sports",Visual,Alone,Afternoon,
202094478,Leo,Grace,Murphy,Male,2001-07-31,United States,United States,(664) 567-5688,leo.murphy19@gmail.com,"7338 Lake Way, Apt 148",Los Angeles,GA,79027,Georgia Institute of Technology,3.53,2.47; 2.3; 3.77; 2.27; 3.33; 3.2,41,80,5,"ECON101, DS401, CS201, DS401, ECON101",16,"TensorFlow, Pandas, Deep Learning, AWS, Machine Learning, JavaScript","Teamwork, Time Management, Critical Thinking, Problem-solving","Machine Learning, None","ML Engineer, Data Scientist, AI Researcher","Hiking, Reading, Music, Photography, Sports, Gaming",Kinesthetic,Online,Late night,"Data Science, NLP"
202274986,Ruby,Caleb,Williams,Female,2003-05-11,United States,United States,(211) 398-2914,ruby.williams56@gmail.com,"9796 Elm Lane, Apt 75",Austin,NY,45213,Yale University,2.97,2.41,27,102,4,"DATA201, EE301, BIO202, EE301",13,"SQL, PyTorch, Pandas, Docker, Cybersecurity, JavaScript, Deep Learning","Time Management, Critical Thinking, Teamwork","None, NLP","Cybersecurity Analyst, AI Researcher, Software Engineer, Data Scientist","Gaming, Reading",Reading/Writing,One-on-one,Evening,"NLP, Machine Learning, AI, Cybersecurity, None"
202146807,Harper,Penelope,Evans,Female,2003-10-05,United States,United States,(202) 820-3842,harper.evans19@gmail.com,8482 Sunset Street,Atlanta,WA,49466,University of Wisconsin--Madison,3.86,3.59; 3.77; 2.39; 3.95; 2.44,97,23,5,"ECON101, EE301, MATH101, AI501, DATA201",18,"R, TensorFlow, Docker, JavaScript, Deep Learning, Git, Machine Learning, Python, Pandas","Teamwork, Problem-solving, Critical Thinking",,Data Scientist,"Gaming, Photography",Auditory,Small group,Afternoon,"Cybersecurity, Computer Vision"
202599939,Madison,Caleb,Ruiz,Female,2003-11-29,United States,United States,(637) 940-1809,madison.ruiz77@gmail.com,"5320 Cedar Way, Apt 111",Denver,CA,28023,University of Michigan--Ann Arbor,2.96,2.62; 2.2; 2.34; 3.7; 2.44,145,0,5,"AI501, DS401, PHYS101, ML502, DS401",18,"Git, Pandas, Python, Docker, TensorFlow, JavaScript, Java","Communication, Teamwork, Critical Thinking",,"Software Engineer, ML Engineer, AI Researcher, Cybersecurity Analyst","Photography, Sports, Gaming, Hiking, Music",Kinesthetic,Alone,Evening,"Computer Vision, Machine Learning"
202178694,Xavier,Claire,Perez,Male,2003-07-25,United States,United States,(735) 803-8101,xavier.perez26@gmail.com,"6196 Cedar Road, Apt 39",Miami,WA,11177,Carnegie Mellon University,3.5,3.91; 2.34,18,93,6,"AI501, CS101, DATA201, AI501, EE301, PSY101",22,"AWS, TensorFlow, PyTorch, Deep Learning, Pandas, Git, Cybersecurity, Python, Docker","Critical Thinking, Problem-solving, Time Management, Communication","Machine Learning, Artificial Intelligence, NLP, Cybersecurity","Cybersecurity Analyst, ML Engineer, Data Scientist","Hiking, Sports, Cooking",Kinesthetic,One-on-one,Afternoon,"Machine Learning, NLP, AI, None, Computer Vision"
202239968,Lucy,Leo,Lee,Female,2005-06-08,United States,United States,(275) 620-6826,lucy.lee7@gmail.com,9832 Oak Boulevard,Austin,TX,89383,University of Chicago,3.08,2.22,126,3,3,"BIO202, DATA201, CYBER301",10,"Pandas, C++, SQL","Communication, Teamwork, Leadership","Artificial Intelligence, Data Science","Software Engineer, Cybersecurity Analyst, ML Engineer, AI Researcher","Music, Photography, Cooking, Gaming, Sports",Reading/Writing,One-on-one,Morning,"Data Science, AI, Cybersecurity"
202127629,William,Madelyn,Cooper,Male,2005-07-14,United States,United States,(716) 682-1209,william.cooper83@gmail.com,"4967 Park Drive, Apt 136",Houston,WA,87798,University of California--Berkeley,3.47,2.03,34,80,4,"PHYS101, PSY101, CYBER301, DATA201",14,"R, Machine Learning, Python, TensorFlow, AWS, C++, Pandas, Java","Leadership, Communication, Critical Thinking, Teamwork, Time Management, Problem-solving",,"Software Engineer, Cybersecurity Analyst, Data Scientist","Gaming, Cooking, Photography, Sports, Reading, Hiking",Auditory,Small group,Afternoon,"Computer Vision, Machine Learning, NLP"
202423128,Aurora,Silas,Brown,Female,2002-04-06,United States,United States,(919) 441-2843,aurora.brown67@gmail.com,"3322 Cedar Avenue, Apt 39",Denver,CA,37131,Yale University,3.3,3.59,41,82,5,"ECON101, BIO202, PHYS101, CS201, AI501",18,"Python, R, AWS, JavaScript, Cybersecurity, TensorFlow, Docker, Git","Critical Thinking, Communication, Problem-solving",,"Software Engineer, Cybersecurity Analyst, Data Scientist","Hiking, Reading, Cooking",Kinesthetic,Small group,Late night,"Cybersecurity, Machine Learning, Computer Vision, None"
202540197,Allison,Levi,Reed,Female,2003-09-27,United States,United States,(811) 374-7525,allison.reed96@gmail.com,3266 Pine Drive,Houston,WA,12505,Columbia University,2.97,3.05; 2.58; 2.61; 2.44; 3.04; 2.04,97,21,6,"BIO202, DS401, CYBER301, CS201, BIO202, DATA201",24,"R, Pandas, Cybersecurity, Java, C++, Docker, Python","Teamwork, Time Management, Leadership","Artificial Intelligence, Data Science, Machine Learning","Software Engineer, AI Researcher, Data Scientist, Cybersecurity Analyst","Music, Hiking, Sports, Reading",Kinesthetic,One-on-one,Morning,"Machine Learning, None, NLP"
202347618,Abigail,Silas,Green,Female,2004-06-02,United States,United States,(565) 303-9040,abigail.green19@gmail.com,2147 Cedar Drive,Chicago,WA,77463,Massachusetts Institute of Technology,2.41,2.07; 3.27; 3.95; 3.34; 3.15,103,8,5,"CS101, CYBER301, CS101, ML502, ML502",16,"JavaScript, SQL, Pandas, Deep Learning, R, PyTorch","Communication, Time Management, Leadership, Problem-solving, Critical Thinking, Teamwork","Machine Learning, NLP, Cybersecurity, Computer Vision","ML Engineer, Cybersecurity Analyst, Software Engineer","Reading, Sports, Photography",Visual,Alone,Late night,AI
202419715,Christopher,Grace,Hill,Male,2005-11-23,United States,United States,(368) 566-4323,christopher.hill43@gmail.com,7894 Park Boulevard,Miami,TX,16244,University of Illinois Urbana-Champaign,2.53,2.93; 2.5; 2.89; 2.69; 2.72; 3.56,91,26,3,"BIO202, MATH101, DS401",10,"C++, TensorFlow, JavaScript, AWS","Leadership, Time Management, Teamwork, Communication, Critical Thinking, Problem-solving","Cybersecurity, Computer Vision, Machine Learning","Data Scientist, Cybersecurity Analyst, ML Engineer, Software Engineer","Reading, Sports, Cooking",Reading/Writing,Small group,Morning,"AI, Machine Learning, NLP, Cybersecurity"
202163276,Cora,Emily,Bennett,Female,2004-10-08,United States,United States,(937) 206-7508,cora.bennett98@gmail.com,"5006 Main Boulevard, Apt 150",Seattle,FL,90632,Carnegie Mellon University,2.66,,41,74,4,"CS101, ECON101, MATH101, CYBER301",15,"SQL, Docker, Cybersecurity, Python, R, PyTorch, Pandas, JavaScript, Deep Learning","Teamwork, Critical Thinking, Problem-solving, Time Management, Leadership","Data Science, NLP",AI Researcher,"Cooking, Music, Reading, Gaming, Photography",Reading/Writing,Small group,Late night,"Cybersecurity, Data Science"
202297979,Ayla,Grace,Rivera,Female,2003-11-04,United States,United States,(408) 572-9776,ayla.rivera30@gmail.com,2582 Hill Boulevard,Miami,CA,91249,University of California--Berkeley,2.83,2.16; 3.38; 3.6,39,84,6,"MATH101, MATH101, DS401, BIO202, CYBER301, PHYS101",20,"R, Pandas, Machine Learning, Java, Python, PyTorch, Git, Docker, TensorFlow","Critical Thinking, Problem-solving, Teamwork, Time Management, Leadership, Communication",Artificial Intelligence,Cybersecurity Analyst,"Sports, Reading, Photography",Auditory,Online,Evening,"Computer Vision, AI"
202077192,Leonardo,Logan,Young,Male,2001-08-31,United States,United States,(734) 783-5220,leonardo.young17@gmail.com,4948 Cedar Way,Los Angeles,CA,80801,University of Pennsylvania,3.97,3.41; 3.54; 2.91; 2.59; 3.76; 2.35,121,0,3,"AI501, CYBER301, PHYS101",12,"Python, Git, C++, SQL, AWS, PyTorch, Docker, Machine Learning, R","Leadership, Time Management, Critical Thinking","Machine Learning, Data Science","AI Researcher, Data Scientist, Software Engineer","Sports, Gaming",Kinesthetic,Alone,Afternoon,Machine Learning
202527357,Gianna,Adam,Reyes,Female,2002-04-19,United States,United States,(404) 869-6649,gianna.reyes9@gmail.com,"6514 Oak Lane, Apt 87",Denver,GA,29843,University of Wisconsin--Madison,2.62,,88,31,3,"AI501, BIO202, BIO202",9,"Git, JavaScript, R, SQL, Docker","Communication, Time Management, Critical Thinking, Problem-solving, Leadership, Teamwork","Data Science, Machine Learning, Artificial Intelligence","ML Engineer, Data Scientist, AI Researcher, Cybersecurity Analyst","Music, Photography, Gaming, Hiking, Reading, Sports",Visual,Online,Late night,Data Science
202041404,Mila,Grayson,Turner,Female,2001-12-09,United States,United States,(213) 883-2673,mila.turner78@gmail.com,7974 Pine Way,Seattle,WA,25720,Northwestern University,2.8,3.62; 3.02; 2.04; 3.09,18,111,3,"AI501, CS201, CS201",10,"Python, Docker, Pandas, JavaScript, TensorFlow, SQL, AWS","Communication, Teamwork, Leadership, Critical Thinking",,"Software Engineer, Cybersecurity Analyst, AI Researcher, Data Scientist","Cooking, Music",Auditory,Online,Morning,"Cybersecurity, None"
202287795,Greyson,Gael,Cooper,Male,2006-08-26,United States,United States,(528) 409-9325,greyson.cooper21@gmail.com,"2875 Main Avenue, Apt 65",Denver,MA,92306,University of Wisconsin--Madison,3.71,3.23,135,0,4,"PSY101, DATA201, PHYS101, CYBER301",13,"JavaScript, Cybersecurity, C++, Java, Deep Learning, Python, Pandas, PyTorch, SQL","Critical Thinking, Time Management, Leadership, Teamwork, Problem-solving, Communication",Machine Learning,"Cybersecurity Analyst, Software Engineer, ML Engineer","Photography, Sports, Gaming, Music, Reading, Cooking",Reading/Writing,One-on-one,Late night,"NLP, Data Science"
202041599,Logan,Xavier,Baker,Male,2001-10-17,United States,United States,(605) 570-1439,logan.baker7@gmail.com,"8813 Elm Road, Apt 79",Miami,CA,49178,University of Pennsylvania,3.17,2.67,66,53,6,"PSY101, DS401, CS201, CS201, ML502, CS101",22,"JavaScript, R, Git, Pandas","Teamwork, Communication, Critical Thinking, Leadership, Time Management",,"Data Scientist, Software Engineer, AI Researcher","Sports, Photography",Auditory,One-on-one,Morning,"Data Science, AI"
202274350,Theo,Christian,Ramos,Male,2006-07-05,United States,United States,(702) 737-8052,theo.ramos20@gmail.com,9625 Hill Avenue,New York,CA,67837,Georgia Institute of Technology,3.06,2.74; 3.34; 3.9; 4.0; 3.22; 3.92,36,93,4,"PSY101, CYBER301, CS201, MATH101",13,"SQL, Git, Machine Learning, Java, Deep Learning, Pandas","Critical Thinking, Teamwork, Time Management, Communication, Leadership",,"Software Engineer, Data Scientist, Cybersecurity Analyst","Photography, Hiking",Visual,Online,Late night,
202334713,Nicholas,Ian,Williams,Male,2006-03-16,United States,United States,(784) 435-1221,nicholas.williams10@gmail.com,"7158 Park Street, Apt 60",Austin,CA,14470,University of Illinois Urbana-Champaign,3.16,3.98; 2.97; 2.6,119,0,6,"PSY101, PHYS101, EE301, ECON101, EE301, CS201",20,"AWS, Machine Learning, SQL, TensorFlow, Docker, Python","Teamwork, Time Management, Leadership, Problem-solving, Communication, Critical Thinking",,Cybersecurity Analyst,"Sports, Photography",Visual,Small group,Evening,"NLP, Data Science"
202061867,Lyla,Brooklyn,Phillips,Female,2003-04-05,United States,United States,(448) 395-6113,lyla.phillips82@gmail.com,1955 Oak Way,Austin,IL,60536,University of California--Los Angeles,2.3,2.36; 3.22; 3.36; 3.99; 2.15; 2.55,108,14,3,"CS201, DS401, PSY101",10,"JavaScript, Machine Learning, TensorFlow, Cybersecurity, Java","Communication, Leadership, Time Management, Teamwork, Problem-solving, Critical Thinking","Computer Vision, Artificial Intelligence, NLP, Cybersecurity","ML Engineer, Software Engineer, Cybersecurity Analyst, Data Scientist","Hiking, Cooking, Photography, Sports, Reading",Reading/Writing,Small group,Morning,"Machine Learning, NLP, Data Science, None"
202366735,Leilani,Samuel,Murphy,Female,2003-02-02,United States,United States,(518) 679-1717,leilani.murphy83@gmail.com,8173 Oak Avenue,Seattle,TX,52957,University of Wisconsin--Madison,2.38,3.6; 2.56,62,50,3,"CS201, ECON101, MATH101",10,"R, SQL, JavaScript, Machine Learning, C++, Java, PyTorch, Cybersecurity","Critical Thinking, Communication, Leadership, Teamwork, Problem-solving","NLP, Machine Learning","Data Scientist, Software Engineer","Cooking, Hiking, Reading, Photography, Gaming",Visual,One-on-one,Morning,"Computer Vision, None, AI, Data Science, Cybersecurity"
202429816,Emily,Eli,Ross,Female,2005-07-05,United States,United States,(400) 700-1631,emily.ross16@gmail.com,9682 Cedar Road,Austin,FL,77240,University of Pennsylvania,2.94,3.62; 2.44,69,52,6,"DATA201, PHYS101, DATA201, EE301, CS201, PSY101",23,"Docker, Java, Pandas, R, Deep Learning, JavaScript, Python","Problem-solving, Leadership, Communication",,"Software Engineer, Data Scientist, AI Researcher, ML Engineer","Photography, Gaming, Hiking, Music, Reading",Visual,One-on-one,Late night,"Data Science, None, Computer Vision, Cybersecurity, AI"
202108527,Waylon,Riley,Alvarez,Male,2004-07-19,United States,United States,(971) 319-3661,waylon.alvarez35@gmail.com,705 Park Lane,Boston,GA,59031,New York University,2.89,3.51,17,100,4,"AI501, DATA201, CS101, DS401",12,"JavaScript, SQL, Java, PyTorch, R, AWS, C++","Teamwork, Leadership, Critical Thinking, Time Management",,Software Engineer,"Cooking, Reading, Photography, Sports, Hiking, Gaming",Reading/Writing,One-on-one,Afternoon,"Data Science, AI, Cybersecurity"
202049660,James,Zoe,Castillo,Male,2004-05-19,United States,United States,(659) 604-5734,james.castillo11@gmail.com,"5838 Pine Drive, Apt 142",New York,IL,80225,Princeton University,3.31,2.18; 3.48; 2.52; 3.45; 3.85; 2.5,100,15,4,"EE301, AI501, BIO202, ECON101",13,"Git, R, PyTorch, AWS, Docker, Python, Java, Deep Learning","Time Management, Communication, Teamwork, Leadership",,"AI Researcher, Software Engineer, ML Engineer","Music, Cooking, Sports, Gaming, Reading",Kinesthetic,One-on-one,Evening,"Data Science, Cybersecurity, NLP, AI"
202349697,Nova,Gabriel,Brooks,Female,2003-05-07,United States,United States,(910) 789-4171,nova.brooks19@gmail.com,"3357 Maple Street, Apt 138",Los Angeles,NY,26656,Northwestern University,3.83,3.81; 3.85,40,82,4,"ML502, ML502, DATA201, DS401",15,"Java, TensorFlow, Docker, SQL, Git, R, PyTorch, JavaScript","Communication, Problem-solving, Teamwork, Time Management","Data Science, NLP, None, Artificial Intelligence","Cybersecurity Analyst, Software Engineer, ML Engineer, AI Researcher","Gaming, Hiking",Visual,Online,Evening,Machine Learning
202426556,Miles,Parker,Chavez,Male,2001-03-15,United States,United States,(437) 686-9329,miles.chavez12@gmail.com,792 Cedar Street,Atlanta,WA,69868,Purdue University,3.25,3.11; 2.63; 2.54; 2.28; 2.04; 3.85,111,10,4,"CS101, PSY101, EE301, BIO202",14,"Deep Learning, Pandas, PyTorch","Time Management, Teamwork, Problem-solving, Critical Thinking, Leadership, Communication",NLP,"AI Researcher, Cybersecurity Analyst, Data Scientist","Music, Sports, Cooking, Hiking, Photography, Reading",Kinesthetic,Small group,Afternoon,"Data Science, AI, NLP, Machine Learning, None"
202461334,Lincoln,Raelyn,Smith,Male,2004-10-20,United States,United States,(907) 358-5857,lincoln.smith16@gmail.com,"7933 Sunset Lane, Apt 41",Austin,TX,78588,University of Chicago,2.6,2.61; 3.64; 3.9; 3.4; 4.0; 2.92,118,8,3,"AI501, CYBER301, PHYS101",11,"R, SQL, Java, PyTorch, Cybersecurity, Docker, Machine Learning","Problem-solving, Leadership, Critical Thinking, Communication, Time Management, Teamwork",,"AI Researcher, Cybersecurity Analyst","Photography, Sports, Hiking, Cooking, Reading",Kinesthetic,Online,Evening,"NLP, None, Machine Learning, AI, Computer Vision"
202181860,Lucas,Naomi,Kim,Male,2003-07-27,United States,United States,(572) 284-9411,lucas.kim85@gmail.com,2693 Oak Lane,Los Angeles,WA,99981,Cornell University,2.72,3.33; 3.44,112,9,5,"CS201, MATH101, ECON101, ECON101, CYBER301",18,"TensorFlow, Docker, Pandas, R, PyTorch, Git","Critical Thinking, Problem-solving, Teamwork, Leadership, Communication, Time Management","None, NLP",ML Engineer,"Hiking, Sports, Cooking, Music, Reading",Auditory,Small group,Evening,"Cybersecurity, Computer Vision, NLP, None"
202074918,Henry,Jameson,Flores,Male,2005-01-06,United States,United States,(404) 686-1269,henry.flores57@gmail.com,"1017 Main Drive, Apt 194",New York,FL,11035,Harvard University,3.94,3.31; 3.19; 2.61; 3.51; 2.47; 2.55,117,0,5,"DATA201, ML502, CYBER301, EE301, BIO202",18,"Docker, Python, JavaScript, PyTorch, Machine Learning, Deep Learning, Java","Teamwork, Critical Thinking, Leadership, Problem-solving, Time Management","NLP, Artificial Intelligence, Data Science","Software Engineer, Cybersecurity Analyst","Music, Photography, Sports, Hiking, Gaming, Reading",Kinesthetic,Online,Evening,"AI, Cybersecurity"
202171163,Colton,Michael,Morgan,Male,2001-02-07,United States,United States,(451) 353-7697,colton.morgan95@gmail.com,696 Oak Lane,Denver,CA,62350,Stanford University,2.61,,46,83,3,"MATH101, DATA201, CS201",10,"Deep Learning, Git, JavaScript, Pandas, SQL, R, Cybersecurity, PyTorch","Teamwork, Communication, Critical Thinking, Time Management, Leadership","NLP, Cybersecurity, Machine Learning, None","Data Scientist, Software Engineer","Reading, Gaming, Cooking",Kinesthetic,Small group,Morning,"None, Data Science, Cybersecurity, Machine Learning"
202580041,Bella,Nathan,Martin,Female,2005-09-17,United States,United States,(374) 888-7545,bella.martin69@gmail.com,"2103 Lake Way, Apt 52",New York,NY,54927,Cornell University,3.07,2.96; 2.62; 3.28; 3.83; 2.85; 2.23,98,30,5,"ML502, DATA201, MATH101, DATA201, DATA201",19,"Machine Learning, Java, Cybersecurity, SQL, PyTorch, Deep Learning, R, AWS, Docker","Teamwork, Communication, Time Management","Artificial Intelligence, None, Cybersecurity",Software Engineer,"Gaming, Hiking, Photography, Music, Cooking",Visual,Alone,Afternoon,"Computer Vision, Data Science, AI, Machine Learning, NLP"
202374864,Silas,Greyson,Nelson,Male,2001-05-27,United States,United States,(838) 799-6309,silas.nelson84@gmail.com,"1581 Sunset Street, Apt 25",Los Angeles,WA,85141,University of California--Los Angeles,2.81,2.7,78,42,4,"CS201, PHYS101, ECON101, ML502",14,"SQL, Cybersecurity, Python, AWS, Machine Learning, TensorFlow, R, C++","Teamwork, Communication, Time Management, Problem-solving","Machine Learning, Artificial Intelligence, Computer Vision","ML Engineer, Cybersecurity Analyst","Gaming, Hiking, Sports, Reading, Cooking",Auditory,Small group,Evening,"Cybersecurity, NLP"
202222881,Elijah,Carter,Roberts,Male,2005-09-07,United States,United States,(738) 347-8012,elijah.roberts64@gmail.com,"4815 Hill Avenue, Apt 95",Boston,GA,11595,Duke University,3.06,2.64; 2.72; 3.07; 3.72; 2.31; 3.29,84,26,3,"EE301, PHYS101, ECON101",12,"C++, AWS, Cybersecurity, Docker, R, TensorFlow, Deep Learning","Problem-solving, Time Management, Teamwork, Leadership, Critical Thinking, Communication","Artificial Intelligence, NLP","Software Engineer, AI Researcher","Cooking, Gaming, Photography, Hiking, Reading",Reading/Writing,Small group,Evening,"NLP, Data Science, Machine Learning"
